Date,Day,Location,Start Time,End Time,Game,Away Team,Home Team,Permit
05/26/2021,Wed,LW3,18:30,20:30,67,NESLL/RUGLL Aces,NCLL/QALL Reignmakers,06:00 PM - 09:00 PM
05/26/2021,Wed,LW4,18:00,20:00,159,Morgan's Plumbing,TNT Taqueria,06:00 PM - 08:00 PM
05/26/2021,Wed,Lower Ross,17:30,19:45,54,NCLL Cheeto Sloths,NCLL Cube Smart Cats,05:00 PM - 07:30 PM
05/26/2021,Wed,Northacres Park #2,18:00,20:15,58,NCLL Lightning Dogs,NWLL Ballard Pediatric Denistry,
05/27/2021,Thu,LW3,18:30,20:30,153,Ken's Market,Ken's Market,06:00 PM - 09:00 PM
05/27/2021,Thu,LW4,18:15,20:00,94,QALL Phoenix,NCLL SantoriniDave.com,06:00 PM - 08:00 PM
05/27/2021,Thu,LW5,18:15,20:00,154,Rough Riders,Reuben's Brewers,06:00 PM - 08:00 PM
05/27/2021,Thu,Magnolia Playfield #2,17:30,19:45,90,NCLL Dynamite,MLL Panthers,
06/01/2021,Tue,Ballard Community Center #1,17:45,19:30,57,NCLL Koalas,BLL Phoenix,
06/01/2021,Tue,Lower Ross,17:30,19:15,56,NCLL Purple,NCLL Bluebirds,XXXXXXXX
06/02/2021,Wed,Lower Ross,17:30,19:45,60,NCLL Cube Smart Cats,NCLL Lightning Dogs,XXXXXXXX
06/02/2021,Wed,Mickey Merriam Playfield #10,18:00,20:15,64,NCLL Cheeto Sloths,NESLL Wolfpack,
06/05/2021,Sat,Gilman Playfield #2,16:00,17:45,71,NCLL Purple,BLL Phoenix,
06/05/2021,Sat,LW3,11:30,13:30,70,NESLL Wolfpack,NCLL Cube Smart Cats,XXXXXXXX
06/05/2021,Sat,LW4,11:30,13:30,71,Northeast #3,NCLL Cheeto Sloths,XXXXXXXX
06/05/2021,Sat,Lower Ross,11:00,12:30,69,NCLL Bluebirds,NCLL Koalas,XXXXXXXX
06/05/2021,Sat,Maple Leaf #2,09:00,11:00,68,NCLL Lightning Dogs,RUGLL Alley Cats,
06/08/2021,Tue,LW4,18:15,20:00,81,NCLL Koalas,NCLL Purple,XXXXXXXX
06/08/2021,Tue,Lower Ross,17:30,19:15,74,BLL Phoenix,NCLL Bluebirds,XXXXXXXX
06/09/2021,Wed,Laurelhurst Playfield #2,18:00,20:15,77,NCLL Lightning Dogs,NESLL Golden Girls,
06/09/2021,Wed,Lower Ross,17:30,19:30,75,NWLL Ballard Pediatric Denistry,NCLL Cheeto Sloths,XXXXXXXX
06/09/2021,Wed,Maple Leaf #2,18:00,20:15,79,NCLL Cube Smart Cats,RUGLL Alley Cats,
06/12/2021,Sat,LW3,11:30,13:30,85,Northeast #3,NCLL Cube Smart Cats,XXXXXXXX
06/12/2021,Sat,LW4,11:30,13:30,86,NCLL Cheeto Sloths,NCLL Lightning Dogs,XXXXXXXX
06/12/2021,Sat,LW5,11:30,13:00,88,NCLL Bluebirds,NCLL Purple,XXXXXXXX
06/12/2021,Sat,Lower Ross,11:00,12:30,87,BLL Phoenix,NCLL Koalas,XXXXXXXX
