Game,Day,Date,Location,Game Start,Game End,Away,Home,
66,Saturday,6/5/2021,Maple Leaf Park #1,9:15 AM,11:00 AM,RUGLL Fireflies,RUGLL Dragonflies,
67,Saturday,6/5/2021,Rogers Playground SW,9:15 AM,11:00 AM,SLL Poison Bats,RUGLL Bees,
216,Saturday,6/5/2021,Cedar Grove Park,10:00 AM,12:00 PM,NSLL Thunder,NLL Pink Panthers,
68,Saturday,6/5/2021,West Queen Anne Playfield #2,10:15 AM,12:00 PM,QALL Tiger Lillies,QALL Golden Phoenix,
69,Saturday,6/5/2021,Ross Playground - Lower,11:00 AM,12:30 PM,NCLL Bluebirds,NCLL Koalas,
217,Saturday,6/5/2021,Northshore Athletic Fields #6,1:00 PM,3:00 PM,NBLL Cheetahs,NSLL Waves,
70,Saturday,6/5/2021,Lawton Park,1:30 PM,3:15 PM,MLL W.G. Clark,MLL Montlake Partners,
219,Saturday,6/5/2021,North Creek Sports Field #3,2:30 PM,4:30 PM,WLL Fireballs,NLL Sharpe,
218,Saturday,6/5/2021,North Creek Sports Field #2,2:45 PM,5:00 PM,WLL Cowgirls,NBLL Huskies,
71,Saturday,6/5/2021,Gilman Playfield #2,4:00 PM,5:45 PM,NCLL Purple,BLL Phoenix,
220,Saturday,6/5/2021,Northshore Athletic Fields #7,6:00 PM,8:00 PM,WLL Jackrabbits,NSLL Storm,
72,Saturday,6/5/2021,Lawton Park,11:30 PM,1:15 PM,QALL Thunder Cheetahs,MLL Firehawks,
,,,,,,,,
73,Tuesday,6/8/2021,Lawton Park,5:30 PM,7:15 PM,QALL Golden Phoenix,MLL Montlake Partners,
74,Tuesday,6/8/2021,Ross Playground - Lower,5:30 PM,7:15 PM,BLL Phoenix,NCLL Bluebirds,
75,Tuesday,6/8/2021,Cromwell Park,6:00 PM,7:45 PM,RUGLL Dragonflies,SLL Poison Bats,
76,Tuesday,6/8/2021,Laurelhurst Playfield #2,6:00 PM,7:45 PM,NESLL Bulldogs,NESLL Purple Puppies,
77,Tuesday,6/8/2021,Magnolia Playfield #1,6:00 PM,7:45 PM,QALL Thunder Cheetahs,MLL W.G. Clark,
221,Tuesday,6/8/2021,Northshore Athletic Fields #7,6:00 PM,8:00 PM,NLL Pink Panthers,WLL Mudhens,
79,Tuesday,6/8/2021,Ravenna Park #1,6:00 PM,7:45 PM,RUGLL Bees,RUGLL Fireflies,
80,Tuesday,6/8/2021,View Ridge Playfield #2,6:00 PM,7:45 PM,NESLL Softball Snakes,NESLL Super Girls,
78,Tuesday,6/8/2021,West Queen Anne Playfield #2,6:00 PM,7:45 PM,MLL Firehawks,QALL Tiger Lillies,
81,Tuesday,6/8/2021,Lower Woodland Playfield #4,6:15 PM,8:00 PM,NCLL Koalas,NCLL Purple,
222,Wednesday,6/9/2021,Cedar Grove Park,5:45 PM,8:30 PM,WLL Cowgirls,NBLL Cheetahs,
223,Wednesday,6/9/2021,Northshore Athletic Fields #7,6:00 PM,8:00 PM,NBLL Huskies,NSLL Storm,
225,Wednesday,6/9/2021,Sunrise Elementary #1,6:00 PM,8:00 PM,WLL Wolverines,WLL Fireballs,4/11 - Corrected typo from 6/8/21 to 6/9/21
224,Wednesday,6/9/2021,Woodin Elementary - Lower,6:00 PM,8:00 PM,NSLL Waves,NSLL Thunder,
226,Thursday,6/10/2021,Northshore Athletic Fields #6,6:00 PM,8:00 PM,NLL Sharpe,WLL Jackrabbits,
82,Friday,6/11/2021,Lawton Park,5:00 PM,6:45 PM,MLL W.G. Clark,MLL Firehawks,
83,Saturday,6/12/2021,Laurelhurst Playfield #1,9:00 AM,11:00 AM,NESLL Softball Snakes,NESLL Bulldogs,
84,Saturday,6/12/2021,Laurelhurst Playfield #2,9:00 AM,11:00 AM,NESLL Super Girls,NESLL Purple Puppies,
85,Saturday,6/12/2021,Ravenna Park #1,9:15 AM,11:00 AM,RUGLL Dragonflies,RUGLL Bees,
86,Saturday,6/12/2021,West Queen Anne Playfield #2,10:15 AM,12:00 PM,QALL Golden Phoenix,QALL Thunder Cheetahs,
87,Saturday,6/12/2021,Ross Playground - Lower,11:00 AM,12:30 PM,BLL Phoenix,NCLL Koalas,
88,Saturday,6/12/2021,Lower Woodland Playfield #5,11:30 AM,1:00 PM,NCLL Bluebirds,NCLL Purple,
227,Saturday,6/12/2021,North Creek Sports Field #2,11:30 AM,1:30 PM,WLL Fireballs,NLL Pink Panthers,
89,Saturday,6/12/2021,Ravenna Park #1,11:30 AM,1:15 PM,SLL Poison Bats,RUGLL Fireflies,
228,Saturday,6/12/2021,Northshore Athletic Fields #6,1:00 PM,3:00 PM,WLL Jackrabbits,WLL Wolverines,
232,Saturday,6/12/2021,Northshore Athletic Fields #7,1:00 PM,3:00 PM,WLL Mudhens,NSLL Waves,
229,Saturday,6/12/2021,North Creek Sports Field #3,2:30 PM,4:30 PM,NSLL Storm,NLL Sharpe,
90,Saturday,6/12/2021,Lawton Park,3:00 PM,4:45 PM,QALL Tiger Lillies,MLL Montlake Partners,
230,Saturday,6/12/2021,Northshore Athletic Fields #6,3:30 PM,5:30 PM,NSLL Thunder,WLL Cowgirls,
231,Saturday,6/12/2021,Tambark Creek Park - NW,3:30 PM,5:30 PM,NBLL Cheetahs,NBLL Huskies,
